split_tag,experiment,model,eval_track,slice_stage,ood_name,bin_family,bin_label,bin_count,bin_positive_count,bin_negative_count,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,evasion_rate,token_count_median,token_count_mean,lexical_ttr_median,avg_token_len_median,source_file,threshold_note,split,semantic_coverage,defer_rate
A,ablation,M1_TFIDF_ONLY,deployment_threshold,OOD,,complexity_bin,complex_q1,192,79,113,0.6458,0.5516,0.6522,0.6854,0.0886,0.1519,0.4177,0.7722,11.5,13.8854,0.8824,4.7042,metrics_ablation_bins_splitA.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=192; n_pos=79; n_neg=113,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M1_TFIDF_ONLY,deployment_threshold,OOD,ood_test_injection,complexity_bin,complex_q1,170,86,84,0.9529,0.9529,1.0,1.0,1.0,1.0,1.0,0.093,118.0,169.2,0.4788,5.0368,metrics_ablation_bins_splitA__ood-ood_test_injection.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=170; n_pos=86; n_neg=84; ood_name=ood_test_injection,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M1_TFIDF_ONLY,deployment_threshold,OOD,ood_test_injection_standard,complexity_bin,complex_q1,997,722,275,0.7121,0.5306,0.7724,0.5812,0.0277,0.0803,0.1233,0.0789,214.0,263.4042,0.5877,4.9834,metrics_ablation_bins_splitA__ood-ood_test_injection_standard.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=997; n_pos=722; n_neg=275; ood_name=ood_test_injection_standard,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M1_TFIDF_ONLY,ranking,OOD,,complexity_bin,complex_q1,192,79,113,0.6302,0.6302,0.6522,0.6854,0.0886,0.1519,0.4177,0.2278,11.5,13.8854,0.8824,4.7042,metrics_ablation_bins_splitA.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=ranking; n_total=192; n_pos=79; n_neg=113,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M1_TFIDF_ONLY,ranking,OOD,ood_test_injection,complexity_bin,complex_q1,170,86,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,118.0,169.2,0.4788,5.0368,metrics_ablation_bins_splitA__ood-ood_test_injection.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=ranking; n_total=170; n_pos=86; n_neg=84; ood_name=ood_test_injection,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M1_TFIDF_ONLY,ranking,OOD,ood_test_injection_standard,complexity_bin,complex_q1,997,722,275,0.7272,0.4383,0.7724,0.5812,0.0277,0.0803,0.1233,0.0028,214.0,263.4042,0.5877,4.9834,metrics_ablation_bins_splitA__ood-ood_test_injection_standard.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=ranking; n_total=997; n_pos=722; n_neg=275; ood_name=ood_test_injection_standard,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M2_TFIDF_PLUS_FLAGS,deployment_threshold,OOD,,complexity_bin,complex_q1,192,79,113,0.6979,0.6602,0.6791,0.7172,0.1392,0.2405,0.3165,0.557,11.5,13.8854,0.8824,4.7042,metrics_ablation_bins_splitA.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=192; n_pos=79; n_neg=113,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M2_TFIDF_PLUS_FLAGS,deployment_threshold,OOD,ood_test_injection,complexity_bin,complex_q1,170,86,84,0.9294,0.9292,0.9996,0.9996,0.9651,1.0,1.0,0.1395,118.0,169.2,0.4788,5.0368,metrics_ablation_bins_splitA__ood-ood_test_injection.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=170; n_pos=86; n_neg=84; ood_name=ood_test_injection,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M2_TFIDF_PLUS_FLAGS,deployment_threshold,OOD,ood_test_injection_standard,complexity_bin,complex_q1,997,722,275,0.6359,0.5082,0.7267,0.5068,0.0055,0.0512,0.0928,0.2091,214.0,263.4042,0.5877,4.9834,metrics_ablation_bins_splitA__ood-ood_test_injection_standard.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=deployment_threshold; n_total=997; n_pos=722; n_neg=275; ood_name=ood_test_injection_standard,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
A,ablation,M2_TFIDF_PLUS_FLAGS,ranking,OOD,,complexity_bin,complex_q1,192,79,113,0.5312,0.5179,0.6791,0.7172,0.1392,0.2405,0.3165,0.1519,11.5,13.8854,0.8824,4.7042,metrics_ablation_bins_splitA.csv,bin_eval=complexity_bin:complex_q1; stage=OOD; eval_track=ranking; n_total=192; n_pos=79; n_neg=113,OOD_BIN_COMPLEXITY_BIN_COMPLEX_Q1,,
